time;test;loopCounter
0.00000;0;
0.00000;;0
0.00077;;1
0.50204;0;
1.00245;0;
1.50483;1;
2.00544;1;
2.50730;1;
3.00809;1;
4.01018;10;
5.01197;10;
6.01332;10;
7.01420;;2
7.51539;0;
8.01614;0;
8.51798;1;
9.01932;1;
9.52119;1;
10.02237;1;
11.02395;10;
12.02513;10;
13.02685;10;
14.02819;;3
14.53038;0;
15.03205;0;
15.53319;1;
16.03387;1;
16.53476;1;
17.03586;1;
18.03790;10;
19.03918;10;
20.04052;10;
