time;test;loopCounter
0.00000;0;
0.00000;;0
0.00084;;1
1.00260;10;
2.00421;0;
3.00573;1;
4.00654;10;
6.00812;;2
7.00977;10;
8.01086;0;
9.01191;1;
10.01451;10;
12.01515;;3
13.01648;10;
14.01694;0;
15.01815;1;
16.01909;10;
18.02005;;4
19.02110;10;
20.02299;0;
21.02473;1;
22.02568;10;
24.02618;;5
25.02819;10;
26.02955;0;
27.03216;1;
28.03398;10;
