time;test;loopCounter
0.00000;0;
0.00000;;0
0.00090;;1
0.50223;0;
1.00338;0;
1.50531;1;
2.00635;1;
2.50841;1;
3.00894;1;
4.01119;10;
5.01204;10;
6.01397;10;
7.01475;;2
7.51520;0;
8.01719;0;
8.51804;1;
9.01982;1;
9.52193;1;
10.02288;1;
11.02470;10;
12.02477;10;
13.02551;10;
14.02668;;3
14.52944;0;
15.03163;0;
15.53325;1;
16.03449;1;
16.53619;1;
17.03684;1;
18.03858;10;
19.04036;10;
20.04137;10;
