time;test;loopCounter
0.00000;0;
0.00000;;0
0.00101;;1
0.50259;0;
1.00402;0;
2.00638;1;
3.00688;1;
4.00919;10;
5.01047;10;
6.01230;10;
7.01422;;2
7.51499;0;
8.01596;0;
9.01734;1;
10.01897;1;
11.02140;10;
12.02243;10;
13.02441;10;
14.02638;;3
14.52906;0;
15.03050;0;
16.03233;1;
17.03417;1;
18.03664;10;
19.03831;10;
20.04005;10;
