timeStamp;Gateway_Gateway_2_Gateway_2_EngSpeed;Gateway_Gateway_2_Gateway_2_EngineTemp;Gateway_Gateway_2_Gateway_2_CarSpeed
2.30056599999999988881;750.0;0.0;0.0
2.35048400099999987845;4.0;0.0;0.0
2.40057000000000009265;10.0;0.0;0.0
2.4504820010000001318;17.0;0.0;0.0
2.50056399999999978689;23.0;0.0;0.0
2.55048600099999989155;30.0;0.0;0.0
2.60056600000000015527;36.0;0.0;0.0
2.65048000100000002988;43.0;0.0;0.0
2.70056200000000012906;50.0;0.0;0.0
2.75048200099999995416;59.0;0.0;0.0
2.75148400100000012358;59.0;0.0;0.5
2.80056200000000021788;69.0;0.0;0.5
2.85047800099999992796;80.0;0.0;0.5
2.90056000000000002714;92.0;0.0;0.5
2.95047600100000018131;106.0;0.0;0.5
3.00056000000000011596;121.0;0.0;0.5
3.05047400099999999057;136.0;0.0;0.5
3.10055600000000008976;153.0;0.0;0.5
3.15047600099999991485;172.0;0.0;0.5
3.20055800000000001404;191.0;0.0;0.5
3.20147800099999990664;191.0;0.0;1.0
3.25047600100000000367;211.0;0.0;1.0
3.30055399999999998784;233.0;2.0;1.0
3.35048200100000004298;256.0;2.0;1.0
3.40056199999999986261;280.0;2.0;1.0
3.45048200000000004906;305.0;2.0;1.0
3.45147400099999979162;305.0;2.0;1.5
3.50055400000000016547;331.0;2.0;1.5
3.5504720010000001551;359.0;2.0;1.5
3.6005539999999998102;388.0;2.0;1.5
3.6504680010000001289;417.0;2.0;1.5
3.65147000099999985423;417.0;2.0;2.0
3.70055600000000017857;448.0;2.0;2.0
3.75047400000000008546;481.0;2.0;2.0
3.80055800000000010286;514.0;2.0;2.0
3.850470001000000142;548.0;2.0;2.0
3.85147000100000003187;548.0;2.0;2.5
3.90055400000000007665;584.0;2.0;2.5
3.95046600100000011579;621.0;2.0;2.5
4.00055400000000016547;659.0;2.0;2.5
4.00147000100000038714;659.0;2.0;3.0
4.05046999999999979281;698.0;2.0;3.0
4.1005539999999998102;738.0;2.0;3.0
4.15047400100000007939;780.0;2.0;3.0
4.15147400100000041334;780.0;2.0;3.5
4.20055599999999973448;823.0;2.0;3.5
4.25047400099999972412;866.0;2.0;3.5
4.30055399999999998784;911.0;4.0;3.5
4.30147200099999960088;911.0;4.0;4.0
4.35047400100000025702;958.0;4.0;4.0
4.40055800000000019168;1005.0;4.0;4.0
4.40147000099999985423;1005.0;4.0;4.5
4.45047800099999957268;1053.0;4.0;4.5
4.5005579999999998364;1103.0;4.0;4.5
4.55047800100000010559;1154.0;4.0;4.5
4.55147600100000015999;1154.0;4.0;5.0
4.60055800000000036931;1205.0;4.0;5.0
