time;test;loopCounter
0.00000;0;
0.00000;;0
0.00116;;1
1.00227;0;
3.00399;1;
6.00531;10;
7.00642;;2
8.00765;0;
10.00830;1;
13.00974;10;
14.01046;;3
15.01157;0;
17.01363;1;
20.01592;10;
